9,51637,22173,382,17,30732,5891,14092,3,1,21,Quiet Dragon 968
5,80442,10647,272,64,49990,7258,8763,1,1,50,Unique Giraffe 705
10,74523,9981,372,106,29366,15627,3928,3,2,30,Merry Squirrel 496
6,56357,4881,435,36,8984,20376,3492,3,1,30,Vibrant Dragon 406
7,48281,17664,124,194,17829,21029,37915,3,2,40,Optimistic Vulture 959
6,48344,44738,268,41,30569,10720,43023,3,2,21,Energetic Squirrel 643
1,70606,11294,137,107,44911,2112,32232,4,2,40,Kind Dragon 63
10,98366,39091,11,31,49318,802,21315,2,2,30,Gentle Tiger 221
9,23677,39564,59,170,8509,4055,44865,1,1,40,Unique Giraffe 198
1,64130,33649,314,171,22959,23632,39264,1,2,56,Unique Unicorn 806
8,87656,20357,295,2,16772,19359,38556,4,2,21,Zealous Eagle 231
6,18526,15198,473,92,18071,6414,17443,1,2,50,Youthful Squirrel 109
2,56991,29395,381,194,15297,22975,7392,1,2,50,Youthful Vulture 442
8,40717,21857,356,117,18102,13676,11862,4,2,30,Youthful Xerus 426
8,85681,18191,26,147,873,29928,41352,1,2,21,Proud Giraffe 745
10,1914,27199,235,88,2031,3800,19578,3,1,50,Jolly Narwhal 599
4,25058,14053,219,114,17499,11603,42050,2,2,30,Happy Quokka 313
9,51226,17435,47,45,5761,16614,29393,4,2,56,Silly Tiger 749
3,21249,26301,465,166,4995,16688,16406,2,1,30,Witty Giraffe 331
3,23106,1183,175,172,29379,25621,16376,4,1,30,Optimistic Eagle 986
9,92702,16447,341,200,42301,22569,24563,4,1,56,Proud Quokka 361
10,25610,29590,283,22,34156,9984,25703,4,2,56,Jolly Yak 848
4,43712,5560,184,63,2421,27699,44459,2,2,30,Inventive Wolf 385
1,38311,27020,164,72,20178,26243,3024,2,1,21,Noble Koala 944
3,89179,8186,33,61,12439,17799,30003,1,2,30,Optimistic Cheetah 120
3,19085,24799,183,27,34780,2347,23466,1,1,21,Eager Owl 600
9,47363,42585,96,55,23473,27721,35662,4,1,21,Unique Eagle 788
10,70850,16214,370,124,11037,19022,21387,2,2,56,Thoughtful Cheetah 342
1,33350,547,420,99,11428,28023,47375,3,2,40,Optimistic Narwhal 567
3,12454,24913,157,89,29749,18883,3043,4,1,30,Fancy Falcon 194
5,17992,24682,310,187,41696,18621,43315,4,1,50,Unique Artist 301
2,72460,6161,250,194,37796,1130,20084,2,2,30,Eager Yak 963
5,25335,48888,197,43,21737,24933,5150,1,1,30,Witty Zebra 972
9,48116,47757,405,95,46745,3640,24950,2,1,56,Fancy Quokka 936
7,53235,40580,264,116,19715,21255,23028,1,1,40,Energetic Rabbit 874
1,78523,21397,74,80,19810,24377,23923,4,2,30,Happy Tiger 462
